Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.66122693,93.54245387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,10.59572642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.143366827,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,63.2529327,66.3634447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9,96.91,97.93063712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.634946767,11.66378867,14.31521389,18.49590568,21.42634931,24.77594069,26.58276395,30.17823282,32.92803836,36.45795837,39.85189639,42.52504022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,40,52,61,63,64,68,78,84.9999915,88,90.4,90.5,90.60000732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,68.04306411,70.96898082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,54.62280586,64.34602977,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,27,30,34,38,42,47,52,58,63.4,67.78,70,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,63,66,69.45,71.67,74.25,76,79.48769771,79,83.45349717,84,84.56051935,88.23865805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32333129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,73.00000137,75.00001564,77,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.542142866,0.65759259,0.7,0.81,0.9,1,1.11,1.219999945,1.264218111,1.38,4.866224464,5.173626777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85,85.0529,86.5165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,6,11.25498791,11.99404791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4,11.38764617,13.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
