Country Name,Country Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,52,58,62,69,74,78.9,83.78,88.66122693,93.54245387,
Afghanistan,AFG,1.84,3.55,4,5,5.454545455,5.9,7,8.26,10.59572642,
Angola,AGO,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13,
Albania,ALB,23.86,41.2,45,49,54.65595904,57.2,60.1,63.2529327,66.3634447,
Andorra,AND,70.04,78.53,81,81,86.43442462,94,95.9,96.91,97.93063712,
Arab World,ARB,18.49590568,21.42634931,24.77594069,26.58276395,30.17823282,32.92803836,36.45795837,39.85189639,42.52504022,
United Arab Emirates,ARE,63,64,68,78,84.9999915,88,90.4,90.5,90.60000732,
Argentina,ARG,28.11262348,34,45,51,55.8,59.9,64.7,68.04306411,70.96898082,
Armenia,ARM,6.21,15.3,25,32,37.5,41.9,54.62280586,64.34602977,67,
American Samoa,ASM,,,,,,,,,,
Antigua and Barbuda,ATG,38,42,47,52,58,63.4,67.78,70,73,
Australia,AUS,71.67,74.25,76,79.48769771,79,83.45349717,84,84.56051935,88.23865805,
Austria,AUT,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32333129,
Azerbaijan,AZE,17.08,27.4,46,50,54.2,73.00000137,75.00001564,77,78.2,
Burundi,BDI,0.81,0.9,1,1.11,1.219999945,1.264218111,1.38,4.866224464,5.173626777,
Belgium,BEL,66,70,75,81.609996,80.71999055,82.1702,85,85.0529,86.5165,
Benin,BEN,1.85,2.24,3.13,4.148323066,4.5,4.9,6,11.25498791,11.99404791,
Burkina Faso,BFA,0.92,1.13,2.4,3,3.725034916,9.1,9.4,11.38764617,13.96,
Bangladesh,BGD,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,18.246938,
Bulgaria,BGR,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49,56.6563,59.82554766,
Bahrain,BHR,51.95,53,55,76.9999665,88,90.0000397,90.50313348,93.47830114,97.9999807,
"Bahamas, The",BHS,31.54,33.88,43,65,71.74820281,72,76.92,78,80,
Bosnia and Herzegovina,BIH,34.66,37.74,42.75,43.88768653,45.06450043,48.52131417,49.91773243,52.60272988,54.73707439,
Belarus,BLR,23,27.43,31.8,39.64889566,46.91,54.17,59.02,67.3,71.11304576,
Belize,BLZ,26.3,27.2,28.2,30.7,31,33.6,38.7,41.59,44.57574032,
Bermuda,BMU,82.3,83.25,84.21,88.336,91.29930452,95.3,96.8,98.32360965,98,
Bolivia,BOL,12.5,16.8,22.4,30,35.34,36.99,34.6,35.56227065,39.6975146,
Brazil,BRA,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,
Barbados,BRB,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.54939789,
Brunei Darussalam,BRN,46,49,53,56,60.27306504,64.5,68.77,71.2,90,
Bhutan,BTN,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.77264453,
Botswana,BWA,6.25,6.15,6,9,16,30,36.74474744,37.31205037,39.36299738,
Central African Republic,CAF,1,1.8,2,2.2,3,3.4,3.6,3.8,4,
Canada,CAN,76.7,80.3,80.3,83,83,85.8,87.12,88.47,89.84,
Central Europe and the Baltics,CEB,50.68859057,55.10283337,58.59929651,59.12224648,61.72869493,63.47561863,66.49503625,67.35924502,71.35041111,
Switzerland,CHE,79.2,81.3,83.9,85.19302818,85.2,86.34,87.4,87.4790556,89.13468774,
Channel Islands,CHI,,,,,,,,,,
Chile,CHL,37.3,41.56,45,52.24960729,55.05,58,61.11,64.289,66.01,
China,CHN,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,
Cote d'Ivoire,CIV,1.9,2,2.7,2.9,5,12,19.2742298,21.88520842,26.52722561,
Cameroon,CMR,3.4,3.84,4.3,5,7.5,10,16.21487223,20.68014766,25,
"Congo, Dem. Rep.",COD,0.44,0.56,0.72,1.2,1.679961015,2.2,3,3.799999507,6.20997406,
"Congo, Rep.",COG,4.287509903,4.5,5,5.6,6.106695024,6.6,7.11,7.615974662,8.121949323,
Colombia,COL,25.6,30,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357,
Comoros,COM,3,3.5,5.1,5.5,5.975296308,6.5,6.98,7.459161386,7.938322771,
Cabo Verde,CPV,14,21,30,32,34.74,37.5,40.26,47.96162392,50.32281787,
Costa Rica,CRI,32.29,34.33,36.5,39.212196,47.5,45.96,53,59.76295014,66.02871285,
Caribbean small states,CSS,27.67452832,31.7555303,35.40769011,42.18432319,42.55248247,45.33528704,48.33091393,50.89816485,53.80998892,
